filename,text,position,color,font,size,length,fileLength
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database APIs,1,,Montserrat,43,13,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database System Architectures,5,,Calibri,18,29,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database APIs,7,,Calibri,18,13,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Object Persistence and Object Relational Mappers,9,,Calibri,18,47,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Exercise,12,,Calibri,18,8,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Contents,13,,Calibri,31,8,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database System Architectures,17,,Calibri,18,29,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database APIs,19,,Calibri,18,13,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Object Persistence and Object Relational Mappers,21,,Calibri,18,47,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Exercises,24,,Calibri,18,9,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Contents Database System Architectures,25,,Calibri,31,37,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• Centralized System Architecture,29,,Arial,28,33,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– all responsibilities of the DBMSs are handled by,30,,Arial,24,50,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,one centralized entity (e.g. mainframe database),31,,Calibri,24,48,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"– has become rare, expensive, and difficult to",32,,Arial,24,46,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,maintain,33,,Calibri,24,8,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database System Architectures,230,,Calibri,31,29,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• Tiered System Architectures,231,,Arial,28,29,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– aim to decouple the centralized setup by combining the,232,,Arial,24,56,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,computing capabilities of powerful central computers with the flexibility of PCs,233,,Calibri,24,79,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• Multiple variants of this architecture,235,,Arial,28,40,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"– E.g., two-tier architecture (a.k.a. client-server architecture)",236,,Arial,24,65,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database System Architectures,239,,Calibri,31,29,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• “Fat” client variant,240,,Arial,28,22,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– presentation logic and application logic are handled by the,241,,Arial,24,61,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,client,242,,Calibri,24,6,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– common in cases where it makes sense to couple an,243,,Arial,24,51,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,application’s workflow with its look-and-feel,244,,Calibri,24,45,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– DBMS now fully runs on the database server,245,,Arial,24,44,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database System Architectures,248,,Calibri,31,29,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• “Thin” client variant,249,,Arial,28,23,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– only the presentation logic is handled by the client – applications and database commands executed on the,250,,Arial,24,106,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,server,252,,Calibri,24,6,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– common when application logic and database logic are,253,,Arial,24,54,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,tightly coupled or similar,254,,Calibri,24,26,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database System Architectures,257,,Calibri,31,29,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"Three-tier architecture: decouple application logic from the DBMS and put it in a separate layer (i.e., application server).",259,,Calibri,21,122,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"Note: “application server” or “database server” may consist of multiple physical, distributed machines",263,,Calibri,21,101,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database System Architectures,537,,Calibri,18,29,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database APIs,539,,Calibri,18,13,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Object Persistence and Object Relational Mappers,541,,Calibri,18,47,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Exercise,544,,Calibri,18,8,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Contents Database APIs,545,,Calibri,31,21,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"• In a tiered DBMS system architecture, client",549,,Arial,25,46,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,applications are able to query database servers and receive the results,550,,Calibri,25,70,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• Client applications that wish to utilize the services,552,,Arial,25,55,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,provided by a DBMS use a specific API provided by the DBMS,553,,Calibri,25,57,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• This database API exposes an interface through,555,,Arial,25,48,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,which client applications can access and query a DBMS,556,,Calibri,25,52,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database APIs,560,,Calibri,31,13,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• Database server receives calls made by clients,561,,Arial,25,48,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,and executes the relevant operations before returning the results,562,,Calibri,25,64,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"• In many cases, the client- and server-interfaces",564,,Arial,25,50,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,are implemented to work over a computer network using network sockets,565,,Calibri,25,68,29623
